customerID,tenure,Contract,MonthlyCharges,TotalCharges,Final_Churn_Probability,Final_Risk_Level,Expected_Remaining_Months,Estimated_LTV,LTV_Value_Segment,Customer_Segment
4753-PADAS,67,One year,105.7,6816.95,21.26,Low,18.8976,1997.48,High Value,High Value - Low/Medium Risk
5701-GUXDC,26,One year,35.4,978.6,8.89,Low,21.8664,774.07,Medium Value,Low/Medium Value - Low/Medium Risk
7235-NXZCP,2,Month-to-month,74.85,156.4,75.77,High,5.815200000000002,435.27,Low Value,Low/Medium Value - High Risk
0668-OGMHD,21,Month-to-month,28.5,629.35,19.93,Low,19.2168,547.68,Low Value,Low/Medium Value - Low/Medium Risk
2812-REYAT,49,One year,20.05,923.1,3.13,Low,23.2488,466.14,Low Value,Low/Medium Value - Low/Medium Risk
8779-YIQQA,21,One year,19.8,350.1,2.82,Low,23.3232,461.8,Low Value,Low/Medium Value - Low/Medium Risk
9701-CDXHR,51,Month-to-month,69.15,3649.6,23.99,Low,18.2424,1261.46,Medium Value,Low/Medium Value - Low/Medium Risk
7130-CTCUS,16,Month-to-month,54.55,825.1,17.4,Low,19.824,1081.4,Medium Value,Low/Medium Value - Low/Medium Risk
1894-IGFSG,22,Month-to-month,89.25,1907.85,47.74,Medium,12.542399999999999,1119.41,Medium Value,Low/Medium Value - Low/Medium Risk
0871-URUWO,13,Month-to-month,102.25,1359.0,70.0,High,7.200000000000001,736.2,Medium Value,Low/Medium Value - High Risk
0057-QBUQH,43,Two year,25.1,1070.15,1.77,Low,23.5752,591.74,Low Value,Low/Medium Value - Low/Medium Risk
9611-CTWIH,3,Month-to-month,89.45,240.45,79.81,High,4.845599999999999,433.44,Low Value,Low/Medium Value - High Risk
8058-DMYRU,54,Month-to-month,90.05,4931.8,48.05,Medium,12.468000000000002,1122.74,Medium Value,Low/Medium Value - Low/Medium Risk
5351-QESIO,1,Month-to-month,24.2,24.2,41.74,Medium,13.9824,338.37,Low Value,Low/Medium Value - Low/Medium Risk
4302-ZYFEL,69,One year,20.55,1403.1,1.09,Low,23.7384,487.82,Low Value,Low/Medium Value - Low/Medium Risk
6134-KWTBV,62,Two year,23.4,1429.65,0.86,Low,23.793599999999998,556.77,Low Value,Low/Medium Value - Low/Medium Risk
2034-GDRCN,2,Month-to-month,90.4,168.2,80.15,High,4.763999999999998,430.67,Low Value,Low/Medium Value - High Risk
9544-PYPSJ,62,Month-to-month,96.1,6019.35,27.13,Low,17.4888,1680.67,High Value,High Value - Low/Medium Risk
4208-UFFGW,2,Month-to-month,44.95,85.15,39.98,Medium,14.404800000000002,647.5,Medium Value,Low/Medium Value - Low/Medium Risk
9537-JALFH,69,Two year,19.9,1356.7,0.37,Low,23.9112,475.83,Low Value,Low/Medium Value - Low/Medium Risk
4415-IJZTP,1,Month-to-month,74.5,74.5,79.02,High,5.0352,375.12,Low Value,Low/Medium Value - High Risk
4701-MLJPN,31,Month-to-month,55.25,1715.65,17.34,Low,19.8384,1096.07,Medium Value,Low/Medium Value - Low/Medium Risk
7515-LODFU,69,Two year,20.3,1356.3,0.5,Low,23.88,484.76,Low Value,Low/Medium Value - Low/Medium Risk
4927-WWOOZ,2,Month-to-month,91.45,171.45,81.83,High,4.360799999999999,398.8,Low Value,Low/Medium Value - High Risk
4067-HLYQI,33,Month-to-month,70.4,2406.1,31.61,Medium,16.4136,1155.52,Medium Value,Low/Medium Value - Low/Medium Risk
6184-DYUOB,3,Month-to-month,19.6,55.25,24.97,Low,18.007199999999997,352.94,Low Value,Low/Medium Value - Low/Medium Risk
9209-NWPGU,44,One year,65.4,2774.55,3.38,Low,23.1888,1516.55,High Value,High Value - Low/Medium Risk
9851-KIELU,10,Month-to-month,110.1,1043.3,60.45,High,9.491999999999999,1045.07,Medium Value,Low/Medium Value - High Risk
3199-XGZCY,8,Month-to-month,75.25,576.7,73.7,High,6.312,474.98,Low Value,Low/Medium Value - High Risk
4226-KKDON,8,Month-to-month,66.65,520.95,38.71,Medium,14.7096,980.39,Medium Value,Low/Medium Value - Low/Medium Risk
1085-LDWAM,69,One year,20.35,1442.65,1.08,Low,23.7408,483.13,Low Value,Low/Medium Value - Low/Medium Risk
6825-UYPFK,23,Month-to-month,75.6,1758.6,34.09,Medium,15.8184,1195.87,Medium Value,Low/Medium Value - Low/Medium Risk
1767-CJKBA,66,Two year,25.1,1697.7,0.74,Low,23.822400000000002,597.94,Medium Value,Low/Medium Value - Low/Medium Risk
7181-BQYBV,1,Month-to-month,102.45,102.45,81.68,High,4.396799999999998,450.45,Low Value,Low/Medium Value - High Risk
0178-CIIKR,3,Month-to-month,19.95,58.0,17.98,Low,19.684800000000003,392.71,Low Value,Low/Medium Value - Low/Medium Risk
4256-ZWTZI,5,Month-to-month,51.0,286.8,28.65,Low,17.124000000000002,873.32,Medium Value,Low/Medium Value - Low/Medium Risk
9537-VHDTA,1,Month-to-month,51.2,51.2,23.49,Low,18.3624,940.15,Medium Value,Low/Medium Value - Low/Medium Risk
2754-XBHTB,9,Month-to-month,77.65,714.15,64.15,High,8.604,668.1,Medium Value,Low/Medium Value - High Risk
5975-BAICR,36,One year,63.7,2188.5,5.48,Low,22.684800000000003,1445.02,High Value,High Value - Low/Medium Risk
3301-VKTGC,68,One year,85.5,5696.6,6.13,Low,22.5288,1926.21,High Value,High Value - Low/Medium Risk
2877-VDUER,35,One year,40.9,1383.6,7.29,Low,22.2504,910.04,Medium Value,Low/Medium Value - Low/Medium Risk
7717-BICXI,60,Two year,20.55,1205.05,0.57,Low,23.8632,490.39,Low Value,Low/Medium Value - Low/Medium Risk
0562-FGDCR,72,Two year,74.55,5430.65,0.67,Low,23.839199999999998,1777.21,High Value,High Value - Low/Medium Risk
3705-PSNGL,45,One year,20.4,930.45,2.99,Low,23.2824,474.96,Low Value,Low/Medium Value - Low/Medium Risk
0048-LUMLS,37,One year,91.2,3247.55,14.79,Low,20.4504,1865.08,High Value,High Value - Low/Medium Risk
6497-TILVL,7,Month-to-month,50.7,350.35,20.07,Low,19.1832,972.59,Medium Value,Low/Medium Value - Low/Medium Risk
2108-YKQTY,4,Month-to-month,50.7,151.3,28.33,Low,17.2008,872.08,Medium Value,Low/Medium Value - Low/Medium Risk
3658-KIBGF,1,Month-to-month,54.9,54.9,39.18,Medium,14.596800000000002,801.36,Medium Value,Low/Medium Value - Low/Medium Risk
5482-NUPNA,4,Month-to-month,60.4,272.15,22.47,Low,18.6072,1123.87,Medium Value,Low/Medium Value - Low/Medium Risk
7410-KTVFV,18,Month-to-month,49.55,878.35,23.54,Low,18.3504,909.26,Medium Value,Low/Medium Value - Low/Medium Risk
9033-EOXWV,12,One year,74.05,872.65,21.17,Low,18.9192,1400.97,High Value,High Value - Low/Medium Risk
8821-XNHVZ,1,Month-to-month,80.05,80.05,67.53,High,7.7928,623.81,Medium Value,Low/Medium Value - High Risk
8224-KDLKN,72,Two year,25.0,1738.9,0.46,Low,23.889599999999998,597.24,Medium Value,Low/Medium Value - Low/Medium Risk
4825-FUREZ,42,Two year,20.25,835.5,1.18,Low,23.7168,480.27,Low Value,Low/Medium Value - Low/Medium Risk
7534-BFESC,24,Month-to-month,76.1,1712.7,54.8,Medium,10.848000000000003,825.53,Medium Value,Low/Medium Value - Low/Medium Risk
9138-EFSMO,26,One year,78.95,2034.25,18.28,Low,19.6128,1548.43,High Value,High Value - Low/Medium Risk
4227-OJHAL,68,One year,73.0,5163.0,3.15,Low,23.244,1696.81,High Value,High Value - Low/Medium Risk
7279-NMVJC,17,One year,19.9,323.15,3.69,Low,23.1144,459.98,Low Value,Low/Medium Value - Low/Medium Risk
8591-TKMZH,59,Two year,111.1,6555.2,6.9,Low,22.344,2482.42,High Value,High Value - Low/Medium Risk
9283-LZQOH,13,Month-to-month,74.4,896.75,48.92,Medium,12.259199999999998,912.08,Medium Value,Low/Medium Value - Low/Medium Risk
3594-IVHJZ,2,Month-to-month,20.45,42.45,24.78,Low,18.052799999999998,369.18,Low Value,Low/Medium Value - Low/Medium Risk
1945-XISKS,67,Two year,19.65,1335.2,0.52,Low,23.8752,469.15,Low Value,Low/Medium Value - Low/Medium Risk
4359-INNWN,17,One year,20.05,337.9,3.61,Low,23.1336,463.83,Low Value,Low/Medium Value - Low/Medium Risk
7649-SIJJF,71,Two year,80.1,5585.4,1.24,Low,23.7024,1898.56,High Value,High Value - Low/Medium Risk
9254-RBFON,17,One year,98.6,1704.95,17.86,Low,19.7136,1943.76,High Value,High Value - Low/Medium Risk
0970-ETWGE,1,Month-to-month,89.55,89.55,81.3,High,4.488000000000001,401.9,Low Value,Low/Medium Value - High Risk
7762-ONLJY,6,One year,19.7,94.45,7.21,Low,22.269599999999997,438.71,Low Value,Low/Medium Value - Low/Medium Risk
6710-HSJRD,61,Month-to-month,114.1,7132.15,41.8,Medium,13.968000000000002,1593.75,High Value,High Value - Low/Medium Risk
8873-GLDMH,6,Month-to-month,73.85,401.3,69.54,High,7.3104,539.87,Low Value,Low/Medium Value - High Risk
9907-SWKKF,1,Month-to-month,25.05,25.05,49.89,Medium,12.026399999999999,301.26,Low Value,Low/Medium Value - Low/Medium Risk
4658-HCOHW,21,Month-to-month,102.8,2110.15,47.91,Medium,12.5016,1285.16,High Value,High Value - Low/Medium Risk
9330-VOFSZ,60,Two year,110.8,6640.7,10.63,Low,21.4488,2376.53,High Value,High Value - Low/Medium Risk
2860-RANUS,20,Month-to-month,85.8,1727.5,55.04,Medium,10.7904,925.82,Medium Value,Low/Medium Value - Low/Medium Risk
6234-PFPXL,22,Month-to-month,95.9,2234.95,24.94,Low,18.0144,1727.58,High Value,High Value - Low/Medium Risk
7205-BAIAD,40,Two year,20.6,827.3,1.23,Low,23.7048,488.32,Low Value,Low/Medium Value - Low/Medium Risk
3858-VOBET,23,Month-to-month,74.95,1710.45,52.64,Medium,11.3664,851.91,Medium Value,Low/Medium Value - Low/Medium Risk
5103-MHMHY,1,Month-to-month,45.95,45.95,31.77,Medium,16.3752,752.44,Medium Value,Low/Medium Value - Low/Medium Risk
6119-SPUDB,46,Two year,38.25,1755.35,1.52,Low,23.6352,904.05,Medium Value,Low/Medium Value - Low/Medium Risk
9389-ACWBI,5,Month-to-month,69.95,320.4,48.46,Medium,12.369599999999998,865.25,Medium Value,Low/Medium Value - Low/Medium Risk
3454-JFUBC,68,Two year,20.0,1396.0,0.76,Low,23.8176,476.35,Low Value,Low/Medium Value - Low/Medium Risk
1768-ZAIFU,1,Month-to-month,25.2,25.2,66.32,High,8.083200000000001,203.7,Low Value,Low/Medium Value - High Risk
7017-VFULY,2,Month-to-month,20.1,43.15,18.34,Low,19.598399999999998,393.93,Low Value,Low/Medium Value - Low/Medium Risk
9221-OTIVJ,14,Month-to-month,104.85,1531.4,76.19,High,5.7143999999999995,599.15,Medium Value,Low/Medium Value - High Risk
2482-CZGBB,10,Month-to-month,70.0,740.0,66.54,High,8.030399999999997,562.13,Low Value,Low/Medium Value - High Risk
7018-WBJNK,13,Month-to-month,78.3,1033.95,46.23,Medium,12.904800000000002,1010.45,Medium Value,Low/Medium Value - Low/Medium Risk
3331-HQDTW,34,Month-to-month,109.8,3587.25,44.1,Medium,13.415999999999999,1473.08,High Value,High Value - Low/Medium Risk
4695-VADHF,18,Month-to-month,57.45,990.85,23.56,Low,18.345599999999997,1053.95,Medium Value,Low/Medium Value - Low/Medium Risk
4086-WITJG,71,Two year,19.7,1301.1,0.33,Low,23.9208,471.24,Low Value,Low/Medium Value - Low/Medium Risk
6297-NOOPG,70,Two year,110.5,7752.05,10.73,Low,21.4248,2367.44,High Value,High Value - Low/Medium Risk
8777-PVYGU,52,One year,64.3,3410.6,6.48,Low,22.4448,1443.2,High Value,High Value - Low/Medium Risk
4378-MYPGO,68,Two year,105.25,7173.15,4.77,Low,22.8552,2405.51,High Value,High Value - Low/Medium Risk
9313-CDOGY,38,Month-to-month,19.6,717.3,4.86,Low,22.8336,447.54,Low Value,Low/Medium Value - Low/Medium Risk
4121-AGSIN,58,One year,24.5,1497.9,2.44,Low,23.4144,573.65,Low Value,Low/Medium Value - Low/Medium Risk
0432-CAJZV,3,Month-to-month,90.7,237.65,66.41,High,8.061600000000002,731.19,Medium Value,Low/Medium Value - High Risk
9097-ZUBYC,14,Month-to-month,48.8,664.4,14.7,Low,20.472,999.03,Medium Value,Low/Medium Value - Low/Medium Risk
9638-JIQYA,2,Month-to-month,24.9,49.7,53.03,Medium,11.2728,280.69,Low Value,Low/Medium Value - Low/Medium Risk
1024-GUALD,1,Month-to-month,24.8,24.8,63.85,High,8.675999999999998,215.16,Low Value,Low/Medium Value - High Risk
8024-XNAFQ,72,Two year,107.4,7748.75,4.19,Low,22.9944,2469.6,High Value,High Value - Low/Medium Risk
7587-RZNME,3,Month-to-month,43.3,123.65,52.88,Medium,11.308799999999998,489.67,Low Value,Low/Medium Value - Low/Medium Risk
1346-UFHAX,13,Month-to-month,80.0,1029.35,42.46,Medium,13.809599999999998,1104.77,Medium Value,Low/Medium Value - Low/Medium Risk
6374-NTQLP,72,Two year,104.1,7447.7,4.0,Low,23.04,2398.46,High Value,High Value - Low/Medium Risk
6625-FLENO,58,Two year,20.75,1185.95,0.76,Low,23.8176,494.22,Low Value,Low/Medium Value - Low/Medium Risk
7375-WMVMT,71,Two year,95.5,6707.15,3.66,Low,23.1216,2208.11,High Value,High Value - Low/Medium Risk
6910-HADCM,1,Month-to-month,76.35,76.35,63.73,High,8.7048,664.61,Medium Value,Low/Medium Value - High Risk
7401-JIXNM,54,Two year,91.3,4965.0,1.59,Low,23.6184,2156.36,High Value,High Value - Low/Medium Risk
7338-ERIVA,39,One year,45.05,1790.6,4.05,Low,23.028,1037.41,Medium Value,Low/Medium Value - Low/Medium Risk
5376-DEQCP,1,Month-to-month,70.6,70.6,72.66,High,6.561600000000002,463.25,Low Value,Low/Medium Value - High Risk
0909-SELIE,61,Two year,80.8,4860.85,1.73,Low,23.5848,1905.65,High Value,High Value - Low/Medium Risk
5419-KLXBN,25,Month-to-month,89.15,2257.75,36.54,Medium,15.230400000000001,1357.79,High Value,High Value - Low/Medium Risk
0365-TRTPY,37,Month-to-month,91.2,3382.3,17.19,Low,19.874399999999998,1812.55,High Value,High Value - Low/Medium Risk
6712-OAWRH,26,Month-to-month,91.25,2351.8,61.96,High,9.1296,833.08,Medium Value,Low/Medium Value - High Risk
2428-ZMCTB,10,Month-to-month,19.75,208.25,13.35,Low,20.796,410.72,Low Value,Low/Medium Value - Low/Medium Risk
1963-VAUKV,1,Month-to-month,20.4,20.4,19.15,Low,19.404,395.84,Low Value,Low/Medium Value - Low/Medium Risk
9381-NDKME,24,Month-to-month,40.65,933.3,35.84,Medium,15.398399999999999,625.94,Medium Value,Low/Medium Value - Low/Medium Risk
3729-OWRVL,65,Two year,110.35,7246.15,11.69,Low,21.1944,2338.8,High Value,High Value - Low/Medium Risk
0895-LMRSF,23,One year,64.9,1509.8,15.18,Low,20.3568,1321.16,High Value,High Value - Low/Medium Risk
2676-SSLTO,49,Two year,66.15,3199.0,4.78,Low,22.852800000000002,1511.71,High Value,High Value - Low/Medium Risk
8495-PRWFH,42,Month-to-month,55.65,2421.75,17.24,Low,19.8624,1105.34,Medium Value,Low/Medium Value - Low/Medium Risk
9030-QGZNL,8,Two year,20.85,161.65,3.81,Low,23.0856,481.33,Low Value,Low/Medium Value - Low/Medium Risk
9972-NKTFD,28,Month-to-month,54.65,1517.5,8.81,Low,21.885599999999997,1196.05,Medium Value,Low/Medium Value - Low/Medium Risk
7998-WNZEM,71,Two year,80.6,5708.2,0.78,Low,23.8128,1919.31,High Value,High Value - Low/Medium Risk
0979-PHULV,69,Month-to-month,99.45,7007.6,28.11,Low,17.2536,1715.87,High Value,High Value - Low/Medium Risk
6445-TNRXS,68,Two year,114.7,7849.85,4.85,Low,22.836,2619.29,High Value,High Value - Low/Medium Risk
9586-JGQKH,64,Two year,105.4,6794.75,9.58,Low,21.7008,2287.26,High Value,High Value - Low/Medium Risk
3966-HRMZA,3,Month-to-month,75.05,202.9,58.68,Medium,9.9168,744.26,Medium Value,Low/Medium Value - Low/Medium Risk
5498-IBWPI,66,One year,49.4,3251.85,2.35,Low,23.436,1157.74,Medium Value,Low/Medium Value - Low/Medium Risk
6823-SIDFQ,28,One year,18.25,534.7,3.03,Low,23.2728,424.73,Low Value,Low/Medium Value - Low/Medium Risk
2323-ARSVR,67,Two year,111.05,7321.05,6.05,Low,22.548000000000002,2503.96,High Value,High Value - Low/Medium Risk
5468-BPMMO,46,Month-to-month,19.6,851.2,4.27,Low,22.9752,450.31,Low Value,Low/Medium Value - Low/Medium Risk
0486-HECZI,55,Month-to-month,96.75,5238.9,33.94,Medium,15.854400000000002,1533.91,High Value,High Value - Low/Medium Risk
2178-PMGCJ,22,Month-to-month,69.7,1490.4,38.82,Medium,14.6832,1023.42,Medium Value,Low/Medium Value - Low/Medium Risk
4660-IRIBM,18,Month-to-month,87.9,1500.5,33.96,Medium,15.849599999999999,1393.18,High Value,High Value - Low/Medium Risk
9674-EHPPG,46,Two year,40.4,1842.7,1.42,Low,23.6592,955.83,Medium Value,Low/Medium Value - Low/Medium Risk
5606-AMZBO,10,Month-to-month,78.15,765.15,55.89,Medium,10.586400000000001,827.33,Medium Value,Low/Medium Value - Low/Medium Risk
0665-XHDJU,72,Two year,99.4,7285.7,10.96,Low,21.3696,2124.14,High Value,High Value - Low/Medium Risk
5402-HTOTQ,16,Month-to-month,55.3,875.35,26.27,Low,17.6952,978.54,Medium Value,Low/Medium Value - Low/Medium Risk
8258-GSTJK,3,Month-to-month,77.0,237.75,79.72,High,4.8671999999999995,374.77,Low Value,Low/Medium Value - High Risk
3787-TRIAL,21,Month-to-month,26.05,565.75,29.93,Low,16.8168,438.08,Low Value,Low/Medium Value - Low/Medium Risk
6175-IRFIT,5,Month-to-month,78.75,426.35,60.25,High,9.54,751.28,Medium Value,Low/Medium Value - High Risk
6317-YPKDH,1,Month-to-month,29.95,29.95,40.43,Medium,14.296800000000001,428.19,Low Value,Low/Medium Value - Low/Medium Risk
5692-FPTAH,1,Month-to-month,45.4,45.4,45.76,Medium,13.0176,591.0,Low Value,Low/Medium Value - Low/Medium Risk
5373-SFODM,36,Month-to-month,85.25,3132.75,47.04,Medium,12.710400000000002,1083.56,Medium Value,Low/Medium Value - Low/Medium Risk
0868-VJRDR,64,Two year,104.05,6605.55,4.88,Low,22.8288,2375.34,High Value,High Value - Low/Medium Risk
4079-VTGLK,30,Two year,74.85,2181.75,11.43,Low,21.256800000000002,1591.07,High Value,High Value - Low/Medium Risk
1166-PQLGG,72,Two year,19.55,1463.45,0.32,Low,23.9232,467.7,Low Value,Low/Medium Value - Low/Medium Risk
5296-BFCYD,46,Two year,20.1,936.85,0.87,Low,23.7912,478.2,Low Value,Low/Medium Value - Low/Medium Risk
6568-POCUI,45,Two year,95.2,4285.8,7.2,Low,22.272,2120.29,High Value,High Value - Low/Medium Risk
2839-RFSQE,2,Month-to-month,20.65,38.7,18.41,Low,19.581599999999998,404.36,Low Value,Low/Medium Value - Low/Medium Risk
2188-SXWVT,34,One year,55.0,1885.15,3.46,Low,23.169600000000003,1274.33,Medium Value,Low/Medium Value - Low/Medium Risk
8849-GYOKR,54,One year,106.55,5763.3,17.19,Low,19.874399999999998,2117.62,High Value,High Value - Low/Medium Risk
3623-FQBOX,21,Month-to-month,19.95,416.4,9.52,Low,21.715200000000003,433.22,Low Value,Low/Medium Value - Low/Medium Risk
2649-HWLYB,65,Two year,76.15,4929.55,1.2,Low,23.712,1805.67,High Value,High Value - Low/Medium Risk
0599-XNYDO,20,Month-to-month,69.8,1540.35,40.17,Medium,14.359200000000001,1002.27,Medium Value,Low/Medium Value - Low/Medium Risk
2514-GINMM,1,Month-to-month,79.5,79.5,77.62,High,5.3712,427.01,Low Value,Low/Medium Value - High Risk
8401-EMUWF,42,Month-to-month,69.4,3058.3,10.48,Low,21.4848,1491.05,High Value,High Value - Low/Medium Risk
5766-ZJYBB,1,Month-to-month,19.4,19.4,19.72,Low,19.2672,373.78,Low Value,Low/Medium Value - Low/Medium Risk
2604-IJPDU,20,Month-to-month,96.55,1901.65,30.76,Medium,16.617599999999996,1604.43,High Value,High Value - Low/Medium Risk
2501-XWWTZ,11,Month-to-month,70.2,760.05,55.62,Medium,10.6512,747.71,Medium Value,Low/Medium Value - Low/Medium Risk
6370-ZVHDV,61,Two year,25.3,1554.9,0.89,Low,23.7864,601.8,Medium Value,Low/Medium Value - Low/Medium Risk
3027-YNWZU,64,Two year,25.0,1584.8,0.77,Low,23.815199999999997,595.38,Medium Value,Low/Medium Value - Low/Medium Risk
4526-ZJJTM,25,Month-to-month,88.4,2191.15,36.52,Medium,15.2352,1346.79,High Value,High Value - Low/Medium Risk
0440-QEXBZ,44,Month-to-month,50.15,2139.1,15.08,Low,20.3808,1022.1,Medium Value,Low/Medium Value - Low/Medium Risk
0330-IVZHA,5,Month-to-month,69.95,330.15,62.98,High,8.884800000000002,621.49,Medium Value,Low/Medium Value - High Risk
9758-MFWGD,48,One year,29.9,1388.75,3.72,Low,23.1072,690.91,Medium Value,Low/Medium Value - Low/Medium Risk
4229-CZMLL,6,Month-to-month,74.9,469.8,75.71,High,5.829600000000003,436.64,Low Value,Low/Medium Value - High Risk
0742-MOABM,4,Month-to-month,50.05,179.35,27.57,Low,17.3832,870.03,Medium Value,Low/Medium Value - Low/Medium Risk
4277-BWBML,72,Two year,19.95,1322.85,0.32,Low,23.9232,477.27,Low Value,Low/Medium Value - Low/Medium Risk
5136-GFPMB,54,Month-to-month,89.4,4869.5,30.46,Medium,16.6896,1492.05,High Value,High Value - Low/Medium Risk
7520-HQWJU,66,Month-to-month,67.45,4508.65,5.27,Low,22.7352,1533.49,High Value,High Value - Low/Medium Risk
6304-IJFSQ,3,Month-to-month,49.9,130.1,39.99,Medium,14.4024,718.68,Medium Value,Low/Medium Value - Low/Medium Risk
0297-RBCSG,19,One year,65.35,1231.85,8.85,Low,21.875999999999998,1429.6,High Value,High Value - Low/Medium Risk
6013-BHCAW,61,Two year,81.0,4976.15,3.14,Low,23.2464,1882.96,High Value,High Value - Low/Medium Risk
4402-FTBXC,54,Month-to-month,89.8,4667.0,18.08,Low,19.660800000000002,1765.54,High Value,High Value - Low/Medium Risk
1471-GIQKQ,1,Month-to-month,49.95,49.95,40.04,Medium,14.3904,718.8,Medium Value,Low/Medium Value - Low/Medium Risk
4283-FUTGF,19,Month-to-month,79.85,1471.75,59.86,Medium,9.6336,769.24,Medium Value,Low/Medium Value - Low/Medium Risk
9548-LERKT,24,Two year,19.75,483.15,1.49,Low,23.6424,466.94,Low Value,Low/Medium Value - Low/Medium Risk
8059-UDZFY,33,Month-to-month,105.35,3465.05,52.31,Medium,11.445599999999999,1205.79,Medium Value,Low/Medium Value - Low/Medium Risk
0410-IPFTY,31,Month-to-month,83.85,2674.15,36.5,Medium,15.24,1277.87,Medium Value,Low/Medium Value - Low/Medium Risk
2478-EEWWM,59,Month-to-month,44.3,2666.75,33.14,Medium,16.0464,710.86,Medium Value,Low/Medium Value - Low/Medium Risk
4619-EVPHY,20,One year,91.0,1859.5,35.97,Medium,15.367200000000002,1398.42,High Value,High Value - Low/Medium Risk
2277-DJJDL,60,Month-to-month,99.0,6017.9,45.63,Medium,13.0488,1291.83,High Value,High Value - Low/Medium Risk
2911-WDXMV,18,Month-to-month,80.55,1406.65,42.07,Medium,13.903199999999998,1119.9,Medium Value,Low/Medium Value - Low/Medium Risk
3639-XJHKQ,19,Month-to-month,60.6,1297.8,14.65,Low,20.484,1241.33,Medium Value,Low/Medium Value - Low/Medium Risk
8173-RXAYP,24,Two year,19.7,452.55,1.19,Low,23.714399999999998,467.17,Low Value,Low/Medium Value - Low/Medium Risk
4537-CIBHB,9,One year,20.25,172.35,6.33,Low,22.4808,455.24,Low Value,Low/Medium Value - Low/Medium Risk
5442-BXVND,33,Month-to-month,24.25,838.5,5.77,Low,22.6152,548.42,Low Value,Low/Medium Value - Low/Medium Risk
2308-STERM,2,Month-to-month,19.4,61.05,18.8,Low,19.488,378.07,Low Value,Low/Medium Value - Low/Medium Risk
7159-NOKYQ,67,Two year,93.15,6368.2,10.4,Low,21.504,2003.1,High Value,High Value - Low/Medium Risk
6075-QMNRR,52,Month-to-month,49.75,2535.55,9.28,Low,21.7728,1083.2,Medium Value,Low/Medium Value - Low/Medium Risk
3694-GLTJM,5,Month-to-month,19.65,92.05,21.47,Low,18.8472,370.35,Low Value,Low/Medium Value - Low/Medium Risk
9629-NHXFW,1,Month-to-month,19.4,19.4,22.81,Low,18.5256,359.4,Low Value,Low/Medium Value - Low/Medium Risk
7167-PCEYD,67,Two year,19.8,1311.3,0.73,Low,23.8248,471.73,Low Value,Low/Medium Value - Low/Medium Risk
2748-MYRVK,63,One year,99.9,6137.0,13.88,Low,20.668799999999997,2064.81,High Value,High Value - Low/Medium Risk
4223-WOZCM,2,Month-to-month,49.95,107.1,39.41,Medium,14.541600000000003,726.35,Medium Value,Low/Medium Value - Low/Medium Risk
6946-LMSQS,25,One year,89.05,2177.45,39.39,Medium,14.546399999999998,1295.36,High Value,High Value - Low/Medium Risk
5469-NUJUR,19,Two year,19.95,373.5,2.55,Low,23.388,466.59,Low Value,Low/Medium Value - Low/Medium Risk
